net.sf.saxon:BasicTransformerFactory:public:net.sf.saxon.TransformerFactoryImpl::<init>:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getTraceListener:public:0::net.sf.saxon.lib.TraceListener::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeTraceListener:public:0::net.sf.saxon.lib.TraceListener::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setTraceListener:public:1:net.sf.saxon.lib.TraceListener:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setTraceListenerClass:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getTraceListenerClass:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setTraceListenerOutputFile:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getTraceListenerOutputFile:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isCompileWithTracing:public:0::boolean::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setCompileWithTracing:public:1:boolean:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeTraceListener:public:1:java.lang.String:net.sf.saxon.lib.TraceListener::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getXSLT30FunctionSet:public:0::net.sf.saxon.functions.registry.BuiltInFunctionSet::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getUseWhenFunctionSet:public:0::net.sf.saxon.functions.registry.BuiltInFunctionSet::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getXPath31FunctionSet:public:0::net.sf.saxon.functions.registry.BuiltInFunctionSet::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getXQueryUpdateFunctionSet:public:0::net.sf.saxon.functions.registry.BuiltInFunctionSet::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeSystemFunction:public:2:java.lang.String,int:net.sf.saxon.functions.SystemFunction::3PP
