com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:hasIgnoreMarker:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findInjectableValue:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:com.fasterxml.jackson.annotation.JacksonInject$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:hasRequiredMarker:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findViews:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Class[]::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findFormat:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonFormat$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findWrapperName:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.databind.PropertyName::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyDefaultValue:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyDescription:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyIndex:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Integer::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findImplicitPropertyName:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyAliases:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.util.List::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyAccess:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonProperty$Access::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:resolveSetterConflict:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.AnnotatedMethod,com.fasterxml.jackson.databind.introspect.AnnotatedMethod:com.fasterxml.jackson.databind.introspect.AnnotatedMethod::3PP
